2021-12-27 14:32:51 WARNING issue with unit arrangement formula:LaNbZn2 calc_id:-yxhvXkEc1vJvUZ0SYxaKv4h8XMP prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:32:54 WARNING issue with unit arrangement formula:SiVZr2 calc_id:-z8eCePIDykLO1MriOG5ntyPuzhu prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:32:56 WARNING issue with unit arrangement formula:PPtY2 calc_id:0-rNuC5V_3Rh7K4t0wM8M3mDYs13 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:32:58 WARNING issue with unit arrangement formula:La2PbV calc_id:0-voXcEfFgnVxFMfE0ap59_aFC-s prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:00 WARNING issue with unit arrangement formula:PdV2Y calc_id:00kNuuS9e_jomA3DowFPwFEdU47n prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:02 WARNING issue with unit arrangement formula:SeZn2Zr calc_id:00lvLt50EydpQtTZ0WEvTXvhbZ8q prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:05 WARNING issue with unit arrangement formula:Mn2NiTc calc_id:00rtfI0nWgUy9HwGqqG7UMy1mMoq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:12 WARNING issue with unit arrangement formula:KNbZn2 calc_id:01EzOXxO1T5epXM2nXPiglz4x1x1 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:14 WARNING issue with unit arrangement formula:Ni2SrTe calc_id:01IJLWM0avluQGhNUFXtOkp31Jvm prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:16 WARNING issue with unit arrangement formula:Li2MgSr calc_id:01QRBh5tpvdo2xSkIXYSzDERhSR- prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:18 WARNING issue with unit arrangement formula:Na2SbZn calc_id:020h1cf6rpKoIvawCt1sHqkbtQUD prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
